image_id,image_url,post,no_likes,no_comments,image_labels,image_text,web_entities
20,https://scontent-atl3-1.cdninstagram.com/vp/6f6127fca80fbebced406e2d5a511225/5B14ADC3/t51.2885-15/e35/21041192_144025666187743_1556037621656846336_n.jpg,"“I met him six months ago at work. I’m the manager of a store. He was a delivery man. He was playful and fun. He’d bring me coffee and buns in the morning. He started driving me home at night. We began dating and recently moved in together. But a few weeks ago I called his cell phone and a woman picked up. She started asking who I was, and said she wanted to know why I was calling ‘her man.’ Afterwards he told me it was a big misunderstanding. He said it was his ex-girlfriend, and he’d been with her for nine years, so he still feels a responsibility to provide for her. He swears it’s just a material relationship. But she calls him all the time now. He’s not my property, and I don’t want to lose him, but I just want him to make her go away. But he acts like it’s my problem. When I tell him it bothers me, he just says: ‘I’ll ask her not to call at night.’” (St. Petersburg, Russia)",146.4k,"3,373",sitting furniture bench tree plant girl outdoor furniture recreation vacation leisure,,Metropolitan Museum of Art Humans of New York Bench Homo sapiens Girl Sitting Facebook Adult CSDN Love
21,https://scontent-atl3-1.cdninstagram.com/vp/0cdc410fef469bee4084cd66157571ee/5B302A06/t51.2885-15/e35/20969365_1667864233285869_7869882517371748352_n.jpg,"“She needed people around us and I didn’t understand that. I was locked on the two of us. There was a Russian writer who wrote: ‘I hated the world so that I could love you more.’ And that was me. I stopped talking to my old friends. I stopped spending time with people from work. And I wanted her to do the same. I was jealous, maybe. She was much younger than me so that made me feel insecure. I don’t think I wasn’t being mean. I was just asking her not to go to work parties. She left me 258 days ago. We’d just come back from a holiday by the sea, and everything seemed fine. It was just like always. We were swimming, drinking wine, going to cafes. I had no idea it was coming. One morning we were having coffee in the kitchen, and she said: ‘I don’t love you anymore.’ It was two months straight of drinking vodka after that. I lost thirty pounds. Only now is the wound starting to heal. I’m getting used to being lonely.” (Moscow, Russia)",125.3k,"1,265",man facial expression male car fun crowd smile human recreation street,,New York City Child Humans of New York Portrait Author Photography Photograph Daughter Childbirth Birth
22,https://scontent-atl3-1.cdninstagram.com/vp/eb9784f8e98ada669054b04e313c108c/5B193171/t51.2885-15/e35/20987361_110103869720313_5597056631159390208_n.jpg,"“I don’t get to live the life of a seventeen year old. My mom is always working and I have a six-year-old brother. So I have to do everything that a mother would do. I take him to kindergarten, pick him up, feed him, clean up after him. I don’t get to take breaks. I can’t play sports after school. I can’t get extra tutoring. But it’s not my mom’s fault. She’s trying to save money for me to go to college. And she tells me every day that I’m a wonderful daughter. But it’s been very difficult for me. The only good thing is that I can understand adult problems already. I don’t take anything for granted and I know that life is not easy. It seems like my friends aren’t even studying to get knowledge. They’re studying to get an allowance. So I think I’m more mature than most seventeen year olds. But at some point I would like some time to take care of myself. Or maybe even have someone take care of me for a change.” (Moscow, Russia)",296.9k,"2,016",hair photograph facial expression human hair color girl beauty blond photography hairstyle eye,,Humans of New York Brandon Stanton New York City Lanzara Barbara L MD Humans of New York Photographer Portrait photography Photography Photograph Woman
23,https://scontent-atl3-1.cdninstagram.com/vp/6be980e94a29d4f216b44a4aa73169ff/5B0F1A54/t51.2885-15/e35/20968763_1112274112206939_4965041048112857088_n.jpg,"“I’m trying to undo old patterns. If she does something that was prohibited in my own childhood, I automatically react. It comes from inside of me. So if we need to go somewhere, and she’s resisting, and I feel like yelling, I’ll turn it into a game. I’ll be the mother cat, and she’ll be the kitten. Or we’ll both be princesses going on an adventure. Honestly, I think the pretending helps me more than it helps her. It’s what forces me out of those patterns.” (Moscow, Russia)",204.4k,807,yellow sitting public space infrastructure snapshot road girl vacation fun leg,,Facebook Humans of New York Like button The Social Network Facebook Watch Blog Streaming media YouTube Television show Content
24,https://scontent-atl3-1.cdninstagram.com/vp/578b068ce7acdc6243f12c6ca305280c/5B2BD28F/t51.2885-15/e35/20838405_112161249451401_9139332145485971456_n.jpg,"“I graduated more than one thousand kids from elementary school. I'd still be teaching but my eyes went bad. It’s such an important time in a child’s life. It’s when they learn speech, grammar, and how to pay attention. It’s when the tree gets its roots. If you’re taught wrong in elementary school, you’ll be trying to catch that train for the rest of your life.” (St. Petersburg, Russia)",213.1k,"1,664",photograph green plant vertebrate sitting tree water grass garden recreation,,New York City Humans of New York Brandon Stanton Photograph Photoblog Child Woman Emotion Thought Art
25,https://scontent-atl3-1.cdninstagram.com/vp/3ba68836649d9a504028b7b207ffe30a/5B2B98BE/t51.2885-15/e35/20590244_910780879064373_3698416649485942784_n.jpg,"“My daughter was injured during birth. Her back was broken during labor. She’s in her thirties now but she still has a lot of problems, especially in her mind. She can’t be left alone. Sometimes she doesn’t even know where she is. It’s like she’s living in a ghost world. It’s been very difficult for us. My wife had to stop working and became severely depressed. We can’t travel. We can’t be active. I try not to resent my daughter but it can be hard. Sometimes she gets very aggressive. When she was younger, she threw all of our possessions out the window. I don’t think many people could have handled it. They’d have taken her to an institution by now. But I can’t do it. Those places are very scary. But my wife and I are getting old. We have no other relatives. So that’s where she’ll end up one day. I try not to imagine it. But it’s inevitable.” (St. Petersburg, Russia)",133.6k,"1,117",senior citizen man vehicle street family car professional official smile,,New York City Daughter Divorce Facebook Humans of New York Not born human Man Family Father Photography
26,https://scontent-atl3-1.cdninstagram.com/vp/0bd599554cc155fee73e90c9873a43e4/5B4A82C7/t51.2885-15/e35/20838770_1466509686762850_1185109114804502528_n.jpg,"“I’m fourteen and all my friends are crazy about being grown ups right now. They’re drinking alcohol. They’re smoking cigarettes. They’re trying to act vulgar. They’ll do anything to separate from their parents and prove that they’re independent. Personally, I’d like to be a child just a little bit longer. I love spending time with my parents. I’m not in a rush to get away. I’d like these times to last as long as possible.” (St. Petersburg, Russia)",386.3k,"4,077",girl beauty pink lady photography smile plant tree fun temple,,Dominique Rijpma van Hulst Child YouTube Family Person Photography Divorce Humans of New York Adult Facebook Watch
27,https://scontent-atl3-1.cdninstagram.com/vp/642fd32327993ce965096e448c928857/5B2C4A95/t51.2885-15/e35/20766795_110349742979535_4405481279882002432_n.jpg,"“We met six months ago at a dance night. His wife passed away three years ago. I’d been married for thirty years and gotten divorced. It was just nice to have someone to talk to. We have so much in common. My ex-husband only wanted to stay home and watch TV. But we do all sorts of things together: walk around the city, go to museums, travel.” “Have sex.”
“Hush.”
“What? We’re still young.” (St. Petersburg, Russia)",260.1k,"2,071",people photograph sitting green male human behavior furniture fun senior citizen girl,,Brandon Stanton New York City Divorce Dating Marriage Television show Humans of New York Husband Man Spouse
28,https://scontent-atl3-1.cdninstagram.com/vp/ef1957d56169510e9594e8cf4c4523e8/5B4CA27F/t51.2885-15/e35/20766250_277843602699834_3324411580250062848_n.jpg,"“It wasn’t an official marriage. We didn’t register. But we had a plan. I was earning good money even though I was young. I was already a specialist at the age of nineteen. She was very beautiful. We’d been together for four years. She was a good person and very easy to talk to. She’d met my family and everyone loved her. At the time I was helping to construct a new subway line in Moscow. I came home from work one day and she was gone. There were no cell phones back then. Nobody knew where she was. She’d last been seen getting into a private taxi with her friend Natalya. A lot of people were disappearing during that time. The police stopped searching after a few months. She wasn't seen again. There’s a line from a Russian poem. It says: ‘We love just once in a lifetime. And spend the rest of our lives looking for something similar.’ I’ve had other girlfriends after Oksana. But I don’t remember their birthday. Oksana’s birthday was July 9th. She was a Leo.” (St. Petersburg, Russia)",278.5k,"5,758",vehicle headgear fashion accessory car sitting tree cap recreation vacation,,Brandon Stanton Job LinkedIn Marriage Photography Facebook Humans of New York Image Divorce Person
29,https://scontent-atl3-1.cdninstagram.com/vp/f7f27a144ea013e7f908d261ab6017d7/5B46360B/t51.2885-15/e35/20837500_2019973364902025_5681493785528238080_n.jpg,"“I quit my job earlier this year. I’m taking a little time to focus on myself. I worked from nine to six everyday. I often brought my work home with me. I was getting sick, and anxious, and I wasn’t sleeping well. But I could never accept my weaknesses. I’d see other people working harder than me, and I’d think: ‘If they can do it, why should I feel tired?’ Eventually I pushed myself so hard that I became depressed. One reason I couldn’t slow down is because my entire family is hard working. Both my parents are architects. My grandfather is an engineer. The importance of hard work has been passed down through the generations. I think the entire country is afraid to stop working. There have been so many hard times. There’s been so much hunger. For so long we had to work all the time just to survive. Even though things are better now, that’s a difficult to psychology to escape. I’m starting to interview for new jobs. But I’m asking different questions. Money is the last thing I worry about. I’m much more interested in the schedule.” (St. Petersburg, Russia)",160.1k,977,plant grass tree girl,,New York City Author Humans of New York Divorce Tumblr Job Photography Photographer Facebook Marriage
30,https://scontent-atl3-1.cdninstagram.com/vp/f8f8826920a0658d46535122b5c57c06/5B4D77D4/t51.2885-15/e35/20766173_1455314831229570_1623632968012529664_n.jpg,"“I came here to meet a girl that I know from the Internet. She's coming all the way from Belarus. It's nothing sexual. Just a friendship. Her name is Olga. We’ve known each other for seven years but this is the first time we’re meeting in person. She’s supported me through a lot of hard times. I get bullied a lot. People at my school often call me names and try to start fights with me. They send love letters to other guys in my name. Olga has comforted me a lot. She checks in with me throughout the day. She says things like: ‘You don’t deserve it.’ And ‘Don’t pay attention to them.’ Her messages have really helped me get through the last few years-- even if they were just words on the Internet.” (St. Petersburg, Russia)",224.3k,"1,659",blue person male photography forehead smile portrait professional portrait photography,,Brandon Stanton Humans of New York Photography Mess Is Mine Photographer Notey Homo sapiens Tumblr Girl Christine Amaya
31,https://scontent-atl3-1.cdninstagram.com/vp/48a0ef923fa4f7ff4c725ac19b478190/5B4D156C/t51.2885-15/e35/20688015_257220611462899_4219873108544192512_n.jpg,"“We were together for nine years. I was completely dependent on him. He was a strong and powerful man and he expected obedience. If he called me at 4 AM, and told me to meet him in Moscow, I was expected to go to the train station. He had a very strong energy. It was hard to argue with him. In the beginning of the relationship, I obeyed because of the pressure. But then the pressure just became a habit. It got worse as time went on. Eventually he stopped listening to me completely. I became so lonely. When you’re with someone who doesn’t care about your views, and has no desire to understand you, it’s worse than being alone. I still loved him though. I knew that he’d had a hard life. I told myself that I had to make sacrifices to build a family. But one morning I woke up and decided that I couldn’t do it anymore. If I stayed in the relationship, I would lose myself completely. I remember it was raining that morning. There was mud in the streets. And something told me: ‘Today is the day.’ That was two years ago. I’ve spent these last two years learning to be alone. I’m realizing the things that I like to do. I feel better, I look better, and I’ve been sharing more of myself with others. I feel like I’m finally learning who I am.” (St. Petersburg, Russia)",281.2k,"2,612",beauty girl tree water smile photography plant grass fun travel,,Intimate relationship Domestic violence Divorce Significant other Woman Interpersonal relationship Humans of New York Ex Boyfriend Girlfriend
32,https://scontent-atl3-1.cdninstagram.com/vp/6d982e95c9ded88fbc397c61e7afbed4/5B442CB2/t51.2885-15/e35/20687353_893455934145111_5475007391617515520_n.jpg,"“I’m ninety but I feel like I’m fifty. I don’t take any medicine. I never complain. I’m just happy to be alive. I tell people: ‘Start with what you have, not with what you want.’ Every day I dance for two hours. And I’m still really interesting too. I love politics and literature. I love the sciences. And I’ve got a boyfriend named Alexander. We exchange books. I don’t even know how old he is.” (Moscow, Russia)",389.7k,"9,895",photograph man sitting male fun child grass boy senior citizen recreation,,Moscow New York City Brandon Stanton Humans of New York: The Series Humans of New York Photographer Photography Photograph Author Blog
33,https://scontent-atl3-1.cdninstagram.com/vp/4c9c80648b92678ec0a41567c7443617/5B471E04/t51.2885-15/e35/20634936_461169210930018_356951781328027648_n.jpg,"“My father died in his sleep last year. Right after my birthday. I didn’t have a good relationship with him. He left the family when I was ten. We had good moments but we were never really close. I wanted him to understand me. I wanted him to realize that I needed support, and love, and somebody to take care of me. I needed him to say ‘I’m sorry.’ But he never did. Whenever we talked, all he cared about was getting across his side of the story. And then he died. And now I have to forgive someone who can’t say ‘I’m sorry.’ I feel like I’m playing this game of chess. And I have to keep making moves, or nothing will ever change. Except that there’s nobody sitting across from me anymore. And I can only guess the moves that he’d make.” (St. Petersburg, Russia)",148.9k,"1,073",green girl tree plant smile grass fun recreation vacation portrait photography,,Письмо к женщине Family Divorce Birthday Father Interpersonal relationship Personality Humans of New York Marriage Psychological abuse
34,https://scontent-atl3-1.cdninstagram.com/vp/5fde931d0f1965f568b71a528eaa5346/5B4D748E/t51.2885-15/e35/20634930_2002172290016502_1551841017701859328_n.jpg,"“There are always two little beautiful humans looking at me like I'm the most important thing in the world. They copy everything I do, especially my son. I’m very careful how I treat my wife because I know that’s how he’ll learn to treat women. I call my wife pet names, and my son started calling his sister those same names. Recently I picked flowers for my wife. And the next day he picked flowers for his sister.” (Moscow, Russia)",353.6k,"4,731",electronic device photography technology selfie gadget mobile phone product photographer communication device,,Brandon Stanton Wife Mother Son Man Humans of New York Mobile phone Sister Father Boyfriend
35,https://scontent-atl3-1.cdninstagram.com/vp/2fd1852b770b354c6be52d71d31668dd/5B2FB171/t51.2885-15/e35/20633948_928238607316732_7242831783375405056_n.jpg,"“I’ve worked in the circus my entire life. I studied to be a clown for many years. A great clown can make you see your own clumsiness. There are many famous clowns. Einstein was a clown. I always think of that famous picture of Einstein sticking out his tongue. That is a sign of extreme intelligence. Dumb people are always working on their serious face. They think a serious face will make them seem intelligent. But intelligent people don't need a serious face.” (Moscow, Russia)",148.1k,884,photograph sitting tree snapshot plant girl road recreation street leisure,,Brandon Stanton Clown Circus Male Maxfield Canon EOS 200D Humans of New York Humans of New York Maxfield Bleu Camera
36,https://scontent-atl3-1.cdninstagram.com/vp/d58da926c6b6ed5bd7233164e93425f2/5B0D7095/t51.2885-15/e35/20633750_1824197084557548_5331706658190000128_n.jpg,"“I was only eighteen when my first daughter was born. Her name was Svetlana. She came down with an infection but there were no antibiotics in the hospital. I begged the doctors and nurses to tell me where to buy them. But none of them would tell me because they were afraid to go to jail. I finally found some American medicine on the black market. But weeks had already passed and it was too late. The antibiotics didn’t work and my daughter passed away. Up until that moment, I had considered becoming an artist or a dancer. But I decided then to become a doctor.” (Moscow, Russia)",291.6k,"2,163",senior citizen man person plant tree temple elder smile professional,,Brandon Stanton New York City Humans of New York Author Facebook Infection Photography LinkedIn User profile Philosophical realism
37,https://scontent-atl3-1.cdninstagram.com/vp/a58c82a498d694cf739cdb5215812f84/5B4E429F/t51.2885-15/e35/20590274_109015279776844_1268987219050233856_n.jpg,"“I’m afraid I’ll live a useless life and nobody will remember me. I don’t feel a strong interest toward anything. If I do, it’s just a momentary thing, and then I drop it. I tried acting. I tried swimming. I tried dancing. But I got bored with all of it. If I don’t choose something soon then I’ll leave nothing behind. We only have a certain amount of energy in life. If you don’t put it somewhere then it’s wasted. I feel like one of the little yellow minions from that movie. They get sad if they don’t have a villain to serve. When I have a goal, and I’m moving toward it, and I reach it, then I feel a little relief. That’s what life is to me. A series of goals that you move toward. I don’t think it’s possible to just become happy. Life’s not that easy. But if you keep moving, you can forget that you’re sad.” (Moscow, Russia)",211.1k,"2,805",photograph beauty girl human hair color photography fun hand vacation leg smile,,It Humans of New York YouTube .me Woman Facebook Water Photo shoot Photography Life
38,https://scontent-atl3-1.cdninstagram.com/vp/03a487a8695b66ee19b4418391ffc7db/5B4BDDA6/t51.2885-15/e35/20686878_1862742010710234_3904813428904034304_n.jpg,"“I cut my hair the other day. It used to be down to my waist. It’s a personal experiment. I’m trying to prove to myself that I can have short hair and still be feminine. It can be hard when I step out on the street and all the other women have long hair. I think a lot of people see short hair, and form an idea that I hate men, or that I only think about business. But I still feel feminine inside. I guess I want to prove that feeling has nothing to do with the type of attention I’m getting.” (Moscow, Russia)",177.7k,"1,158",clothing white outerwear snapshot dress girl coat pattern,,New York City Humans of New York Hair Woman Waist Femininity Love Skirt Long hair Girl
39,https://scontent-atl3-1.cdninstagram.com/vp/b582d56576862db8b839269b73dc62cb/5B10C83C/t51.2885-15/e35/20589975_103241047057502_1010460750818312192_n.jpg,"“This is a picture of me before I lost my job. It was only a year ago but I barely recognize that person now. I was thirty pounds heavier. I was much more confident. It felt like a guardian angel was guiding my steps. Things always seemed to work out for me. Now it seems like my guardian angel is drunk. Now I look at this picture and see a man who’s wearing a mask. The man in the picture wants to be seen as a person who does important things. He wants to be seen as confident, and harsh, and a leader. He wants to be seen as an attorney. Now I just want to be seen as a person. Someone who’s calm. Who’s balanced. Who loves his friends and family. And who’s kind.” (Moscow, Russia)",161.9k,764,profession businessperson professional official entrepreneur business executive executive officer,,Donald Trump Brandon Stanton Person Photography Harry Benson: Photographs Image Humans of New York Photographer Photograph Guardian angel
40,https://scontent-atl3-1.cdninstagram.com/vp/5cd85dc373be39da3a9597763f389eff/5B0EC729/t51.2885-15/e35/20686394_369447910140473_5256555424978567168_n.jpg,"Today in microfashion... (Moscow, Russia)",194.1k,492,dress girl child recreation tree vacation plant,,Moscow Brandon Stanton Internet meme Meme Humans of New York Image Child Blog Feeling Photograph
41,https://scontent-atl3-1.cdninstagram.com/vp/6a4a2338fad3616bb45871c518747ab6/5B288BF6/t51.2885-15/e35/20590224_112004622759148_1591764873316925440_n.jpg,"“I’m the lead singer in this band because he can’t hear very well. But I’d like to say that he’s a wonderful man. You should have seen him when we met in 1953. Green eyes. Black hair. A little gray on the side. All my girlfriends were so jealous. He had no money so he sold his best suit to buy me fruit and flowers. I used to get entire letters from him that were written in verse. He still writes in verse-- but just little notes now. I think he might have run out of verse.” (Moscow, Russia)",214k,"1,184",photograph sitting tree plant fun recreation furniture leisure vacation girl,,Brandon Stanton New York City Humans of New York Krylataya Pamyat' Pobedy Photographer Facebook Facebook Watch Book Moscow Blog
0,https://scontent-atl3-1.cdninstagram.com/vp/0c2924c993bfb0baeeb4e6cdd1deb8dc/5B14D272/t51.2885-15/e35/23101768_127385324647303_6027561767540883456_n.jpg,Today in microfashion...,315.9k,"1,023",yellow road infrastructure street snapshot child costume outerwear recreation fun,,New York City Humans of New York Tumblr Facebook Photography Facebook Watch Photoblog Blog Image Photograph
1,https://scontent-atl3-1.cdninstagram.com/vp/daf11e2856771ba2a6289c80688d6c9a/5B13A2B1/t51.2885-15/e35/23098885_1632835066781449_8407666152871821312_n.jpg,"“It was a tsunami. In April of ’82 there was an article in the New York Times about a new gay cancer, and everyone thought ‘oh well.’ I was in my twenties. I wasn’t worried about a thing. But then every week you started to hear about somebody becoming ill. My boss was one of the first. He was a famous florist. He went into the hospital on Thanksgiving and was dead by Easter. I lost most of my friends. A lot of the first men to die were privileged. They were closeted, corporate white men. During the day they were bankers but at night they’d hit the leather clubs and bars. But they learned their privilege didn’t matter after they got sick. They were just ‘gay.’ We had to fight for AIDS to be recognized by the government. We joined together with people of color, and junkies, and prostitutes. It was a beautiful thing, really. Our feminist lesbian sisters taught us how to protest because they’d been doing it for decades. They showed us how to organize meetings, and bring people together, and force the government to the table—things we’d never had to think about as white men.”",192.9k,"1,622",tree woody plant plant road sitting street vehicle recreation water city,,Alan Watts Bar LUA Bar Male Humans of New York Confusion Trying to define yourself is like trying to bite your own teeth. Love Thought Worry
2,https://scontent-atl3-1.cdninstagram.com/vp/fa7bb396abb944d269397e979a116d11/5B28A0D5/t51.2885-15/e35/22857554_802204446645938_1912335708962422784_n.jpg,Today in microfashion...,534k,"6,511",pink white clothing jeans snapshot sunglasses product fun textile costume,,New York City Brandon Stanton Humans of New York Like button Facebook Facebook Watch Photography Book You are perfectly cast in your life. I can't imagine anyone but you in the role. Go play. neiltyson
3,https://scontent-atl3-1.cdninstagram.com/vp/fe096f08ebc42c91cc92ac9cb090080a/5B171586/t51.2885-15/e35/22794047_918528871635610_5489177742857469952_n.jpg,"“At first I told myself I could get past it. I said, ‘Let’s just see how it goes.’ We had excellent dates. Everything else about her was exactly what I wanted. I didn’t want to ruin something good for that one little reason. But it’s been 1.5 years. And I feel horrible, but I just can’t get past it. And I feel like a bad person for being bothered by it. I can’t bring myself to tell her. We’re going to couple’s therapy next week, but I still don’t think I’ll be able to say it. Is there any right way to ask someone to lose weight for you?”",87k,"5,712",sitting footwear shoe jeans vehicle tree road car hand jacket,,New York Girlfriend Humans of New York Significant other Love Feeling Weight loss Boyfriend Falling in love Man
7,https://scontent-atl3-1.cdninstagram.com/vp/9fda06141db355e1071c00d72261f29a/5B46622B/t51.2885-15/e35/22344325_1876834635963808_817100361079717888_n.jpg,"“Zoe loves the movies. So I knew if I was going to propose, it had to involve the movies. But I can’t make a movie myself because I don’t work in film. So I had to get creative. I ordered a black-and-white Italian film from a vintage film dealer. It seemed vaguely romantic. I spent four months editing it on my computer. I changed all the subtitles. I cut out the harem scene. I completely changed the plot so that it resembled our lives. I wrote some dialogue about picture frames because Zoe’s family owns a frame shop. And I love trains. So I made the main character a train enthusiast. When I finished the editing, I rented out a small theater with sixty seats. I invited all of Zoe’s friends and family. I made sure everyone sat in the front and didn’t turn around. The weather was beautiful that day. Zoe didn’t want to go to a movie. We got in a big fight about it, but I finally convinced her. I was so nervous that I laughed during the whole film. I’d seen all the jokes 1000 times but I laughed at them anyway. Then during the final scene, the main characters started speaking to the audience, and one of them asked: ‘Does anyone here want to get married?’ So I stood up. The lights came on. All her friends and family turned around. And I gave a speech that I prepared. I was so nervous that I forgot to ask the actual question. But Zoe bailed me out and said ‘yes’ anyway.”",398.3k,11.1k,people photograph pink facial expression glasses vision care day smile beauty photography,,Brandon Stanton Film Humans of New York: Stories Youth Humans of New York Bride Marriage YouTube Love Romance Film
8,https://scontent-atl3-1.cdninstagram.com/vp/ebdae91ac20354e81e5e6264b69a1bb7/5B17157B/t51.2885-15/e35/22427042_499314787101905_808207596933611520_n.jpg,"“My mom went off when she found out I was gay. It’s not accepted in Jamaican culture. I had to pretend I was ‘over it’ just so I could stay in the house. I didn’t really have anyone to talk to about it. I was always getting in fights with other kids. I didn’t even have a real friend until I was seventeen. I joined my school’s volleyball team, and the coach paired me up with a boy named Winnie to work on drills. I was still in the closet. He was much more flamboyant than me. He’d make me laugh. We’d talk about other boys on the team. He showed me how to not take myself so seriously. And we had similar backgrounds too. Winnie lived in a single parent home. His mother didn’t accept his lifestyle either. Sometimes we’d talk on the phone at night. Or we’d get a slice of pizza after practice. These were things that I’d never done with anyone before. I never pursued anything romantic because I couldn’t risk the friendship. It was the first time I didn’t feel alone.""",211k,"1,609",man person facial hair male eye temple human cool street smile,,New York City Culture Art Social media Gil Kuno Sayaka Tamura Humans of New York Child  New York Cares
0,https://scontent-atl3-1.cdninstagram.com/vp/679ad9e6b81a3fe5fd1283481ac20ec8/5B1AC80E/t51.2885-15/e35/17882639_446731922332977_4810443674523533312_n.jpg,"“We’ve been at war in this country for over fifty years. There have been hundreds of thousands of deaths and millions of victims. So a lot of people don’t like the work that I do. I manage a reintegration program for ex-combatants. I’m trying to take away the main tool of war-- human beings. We can’t punish everyone who fought against us. We can’t jail them all. That will only divide us further. So we must find a way to reconcile with the 60,000 ex-combatants that live among us. We must educate them. We must find them jobs. If we reject and stigmatize them, we will always be at war. Reconciliation is a very hard task. There are a lot of open wounds in this country. People don’t want to forgive. Ex-combatants are often viewed as monsters. My job is to show that their blood is like ours. If we can’t break the idea of ‘good’ and ‘evil,’ we will always be divided. Reconciliation is the only way to change the course of our history.” (Bogotá, Colombia)",121.1k,985,suit businessperson building professional city,,Brandon Stanton Humans of New York War Combatant Person Businessperson Homo sapiens Building Facebook Street
1,https://scontent-atl3-1.cdninstagram.com/vp/a6c97653e49143e4ad169dc9bd68032e/5B19A268/t51.2885-15/e35/17882795_114374515724934_8118234324043563008_n.jpg,"“I’m unemployed right now, but it’s my own decision. I’m trying to rethink my life. I’ve been a biology teacher for the past seven years. I’d wake up at 5:30 AM every day and wouldn’t get home until after 5 PM. Then I’d spend the evening preparing lessons or grading exams. Teaching was beautiful but I didn’t like the philosophy of the school. The focus was on being as productive as possible. The kids were stressed. They had no time to be children. I just didn’t feel that life should be like that. It can’t always be about growing, growing, growing. There have to be cycles. So I’m trying to take a step back. I’m trying to enrich myself without having an exact objective. I’m reading, and doing yoga, and participating in a dance group. But it’s been hard to appreciate the moment. I’ve always felt such a pressure to work. And when I’m not producing, it’s hard to escape the feeling that I’m doing something wrong.” (Bogotá, Colombia)",208k,"2,474",girl sitting fun smile,,Bogotá Table Girl Teacher Dance Decision-making Anti-gravity yoga Girlfriend Sitting Idea
2,https://scontent-atl3-1.cdninstagram.com/vp/8e4b5006f98cf3c1c2f26f930497f096/5B4A30D8/t51.2885-15/e35/17495094_229744997430152_5666997781277966336_n.jpg,"“My father never valued my mother. She did everything for him. She worked all day, then she came home to cook dinner. My father just came home to sleep. She’d bring him his food on a tray. Everything had to be perfect: right colors, right napkins, everything. But he’d still call her names. He’d get drunk and yell at her for nothing. My mother was submissive and accepted it all. She’d even get mad at me if I tried to intervene. Eventually my father had an affair with our neighbor. And two years ago he left our home to be with her. Recently I spoke to him on the phone. He sounded depressed. He’d just broken up with the woman. He told me that he’d given her everything, but she still left him. He’d cooked for her, he’d treated her well, and he’d bought her whatever she wanted. But nothing was enough. I asked him if he realized what life was teaching him. He had no answer.” (Bogotá, Colombia)",241.7k,"2,501",hairstyle girl long hair,,Brandon Stanton Humans of New York Onion Instagram Father Image Estudio Luis Garvan Mother Facebook Food
3,https://scontent-atl3-1.cdninstagram.com/vp/7092184194767368f51f7def49147016/5B135311/t51.2885-15/e35/17882835_1054088638026465_7600156861785964544_n.jpg,"“I’m really bothered by people using cocaine. I get angry when I see people doing it for fun. So many horrible things have happened in my country just so people can have ‘fun.’ Cocaine was the motor behind the war in Colombia. It financed the drug lords, the paramilitary, and the guerillas. It paid for the bombs, and the guns, and the kidnappings. It corrupted our government. It ruined our reputation. There isn’t a family in Colombia that hasn’t been hurt. All of us lost friends and family members. And this violence was funded by people who use cocaine. Yet none of them feel responsible for what happened."" (Bogotá, Colombia)",163.3k,"1,759",photograph infrastructure public space snapshot road street girl winter city fun,,Colombia Apple An apple a day keeps the doctor away Meme Cocaine If(we) Drug lord Facebook Humans of New York Image
4,https://scontent-atl3-1.cdninstagram.com/vp/59541a1b9d3f685312e5241972aaf179/5B1337C4/t51.2885-15/e35/17881379_655750134613548_2716901684730134528_n.jpg,"“My mother abandoned me as an infant. My father left when I was seven, and a year later I began working as a maid. My earliest memories are cooking and cleaning. When I turned seventeen, I got a job on a construction site. I met a much older man there. I thought he was very handsome. And he was so nice to me. He’d bring me flowers, and apples, and oranges. If anyone was aggressive toward me, he would defend me. He made me feel whole. It was the first time that I’d ever felt truly happy. When I found out I was pregnant, I was so excited to tell him. I thought I would finally have a family. He’d always told me that he wanted to be with me. But when I gave him the news, he said: ‘I have a wife and children. We can never be together.’ Even now it hurts to remember. It hurt me more than not having parents."" (Medellín, Colombia)",140.3k,"1,296",woman sitting lady beauty girl smile human temple fun professional,,Colombia Humans of New York Infant Father Child Mother Cooking Woman Humans of New York Sitting
5,https://scontent-atl3-1.cdninstagram.com/vp/bbaffabebd3546d9743ba5e7182f8a3c/5B0F48F3/t51.2885-15/e35/17817555_722529777927918_3586868038047105024_n.jpg,"“My sister was murdered when I was twelve years old. Her husband killed her because of jealousy. After that it was just me and my mom. I stopped studying. I became the black sheep of the family. I left the house and went my own way. There was a gang in the neighborhood. They gave me a place to live. They gave me work. They gave me marijuana and cocaine. I was always high. My job was to collect protection money from local businesses. There were five of us who made the rounds. When I turned fourteen they told me I was ready to ‘test the knife.’ There was a shopkeeper named Maria. Her husband was a pain in the ass. He would always scream at us and call us sons of bitches. So we stabbed him over and over. There was blood everywhere. I felt like throwing up. Afterwards I felt empty inside. So I just did more drugs. And the way I looked at it—if my sister got killed, why shouldn’t other people die? At least that’s how I always justified it to myself.” (Bogotá, Colombia)",117.2k,"1,453",,,Social media Family Husband Sister Jealousy Black sheep Sheep Mother Content Content creation
